Tweet_ID,Author_ID,Created_At,Text,Cleaned_Text,Roberta_Label,Roberta_Score
Tweet_ID,Author_ID,Created_At,Text,Text,LABEL_1,0.6372178792953491
1916903888998875595,1596595159361257475,2025-04-28 17:14:36+00:00,24-Story Live Local Development With Micro Units Proposed Near Metrorail https://t.co/jiZICygGeQ #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,24-Story Live Local Development With Micro Units Proposed Near Metrorail https://t.co/jiZICygGeQ #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,LABEL_1,0.9152897000312805
1916858531447243087,1596595159361257475,2025-04-28 14:14:22+00:00,What did that sign say? Take a look at old highway billboards in Miami https://t.co/YEHWzzbFcQ #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,What did that sign say? Take a look at old highway billboards in Miami https://t.co/YEHWzzbFcQ #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,LABEL_1,0.8408927917480469
1916849681839046968,1596595159361257475,2025-04-28 13:39:12+00:00,Bright Click Digital Marketing Relocates to Orlando to Expand Nationwide Reach https://t.co/aRqBHiMEco #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,Bright Click Digital Marketing Relocates to Orlando to Expand Nationwide Reach https://t.co/aRqBHiMEco #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,LABEL_1,0.5787140130996704
1916825937238266271,1596595159361257475,2025-04-28 12:04:50+00:00,How much it costs to park at Miami International Airport https://t.co/T4WaGdpdBl #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,How much it costs to park at Miami International Airport https://t.co/T4WaGdpdBl #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,LABEL_1,0.7492104172706604
1916770409233502385,1596595159361257475,2025-04-28 08:24:12+00:00,This jet ski-street bike hybrid spotted in Miami looks like a glitch in GTA https://t.co/Lb8NyaJp3o #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,This jet ski-street bike hybrid spotted in Miami looks like a glitch in GTA https://t.co/Lb8NyaJp3o #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,LABEL_1,0.646415650844574
1916494835705323531,15840102,2025-04-27 14:09:10+00:00,"“Miami-Dade bus ridership plunged 18.5% in December from December 2023, when the county removed fares from all of its transit systems to get more passengers aboard the new configuration of buses called the Better Bus Network.” https://t.co/W0R0XlDWn7 https://t.co/uJPtAAqDDf","“Miami-Dade bus ridership plunged 18.5% in December from December 2023, when the county removed fares from all of its transit systems to get more passengers aboard the new configuration of buses called the Better Bus Network.” https://t.co/W0R0XlDWn7 https://t.co/uJPtAAqDDf",LABEL_1,0.630882978439331
1916126304321126616,1596595159361257475,2025-04-26 13:44:45+00:00,Broward Metropolitan Planning Organization’s State of the Region &amp; Annual Awards 5/22/25 https://t.co/UuW9HzTJN1 #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,Broward Metropolitan Planning Organization’s State of the Region &amp; Annual Awards 5/22/25 https://t.co/UuW9HzTJN1 #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,LABEL_1,0.9119462966918945
1915869630431715344,1596595159361257475,2025-04-25 20:44:49+00:00,Happy Tails https://t.co/KiiWS82O9C #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,Happy Tails https://t.co/KiiWS82O9C #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,LABEL_2,0.6688855290412903
1915812946245976133,1596595159361257475,2025-04-25 16:59:35+00:00,Miami International Airport Salutes Eva Trivelli as Volunteer of the Year at National Volunteer Week Gala https://t.co/1lZqvAcjXG #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,Miami International Airport Salutes Eva Trivelli as Volunteer of the Year at National Volunteer Week Gala https://t.co/1lZqvAcjXG #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,LABEL_2,0.9196313619613647
